;ACP;pol;q3;q1;median;IQR;mean;std;count;optimal_count
145;PROCESSING_ACPS_FLORIANOPOLIS;POLICIES_rent;1.0;0.0;0.0;1.0;0.28749098774333093;0.4525924432750672;5548;1595
146;PROCESSING_ACPS_FLORIANOPOLIS;POLICIES_wage;1.0;0.0;0.0;1.0;0.28066338618552944;0.4493233243894666;5487;1540
147;PROCESSING_ACPS_FLORIANOPOLIS;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.16497321263624606;0.37115637101998133;5413;893
148;PROCESSING_ACPS_GOIANIA;POLICIES_buy;0.0;0.0;0.0;0.0;0.015435501653803748;0.12327711443126485;5442;84
149;PROCESSING_ACPS_GOIANIA;POLICIES_rent;1.0;0.0;0.0;1.0;0.29435410195505207;0.45575186737663165;5473;1611
150;PROCESSING_ACPS_GOIANIA;POLICIES_wage;1.0;0.0;0.0;1.0;0.2830613393359595;0.45048597925939077;5331;1509
151;PROCESSING_ACPS_GOIANIA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.15858867223769732;0.36529208214192316;5385;854
152;PROCESSING_ACPS_JUIZ DE FORA;POLICIES_buy;0.0;0.0;0.0;0.0;0.03715226939970717;0.18913481508743643;5464;203
153;PROCESSING_ACPS_JUIZ DE FORA;POLICIES_rent;1.0;0.0;0.0;1.0;0.28213944603629415;0.45004086372975866;5235;1477
154;PROCESSING_ACPS_JUIZ DE FORA;POLICIES_wage;1.0;0.0;0.0;1.0;0.27301352102241155;0.4455077309782141;5399;1474
155;PROCESSING_ACPS_JUIZ DE FORA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.1640482279868469;0.37031933095805625;5474;898
156;PROCESSING_ACPS_MACAPA;POLICIES_buy;0.0;0.0;0.0;0.0;0.02400446594715296;0.15306290067075343;5374;129
157;PROCESSING_ACPS_MACAPA;POLICIES_rent;1.0;0.0;0.0;1.0;0.2781954887218045;0.4481102082932733;5586;1554
158;PROCESSING_ACPS_MACAPA;POLICIES_wage;1.0;0.0;0.0;1.0;0.28508042151968943;0.45145273815300496;5409;1542
159;PROCESSING_ACPS_MACAPA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.16154700222057736;0.3680347378904906;5404;873
160;PROCESSING_ACPS_NATAL;POLICIES_buy;0.0;0.0;0.0;0.0;0.020939548434085943;0.14318199518606559;5492;115
161;PROCESSING_ACPS_NATAL;POLICIES_rent;1.0;0.0;0.0;1.0;0.27429726253904096;0.44615947182888477;5443;1493
